
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
 ------    -----      -----     ------      --  -- -----------
     24    12.91      29.18       0.45    3168   1 ApplicationFrameHost
     12    11.15      22.63      25.02    4052   1 conhost
     15     1.77       4.73       0.81     436   0 csrss
     15     1.82       5.09       3.50     520   1 csrss
     17     4.21      19.62       3.05    3784   1 ctfmon
     17     3.07       8.47       0.08    3196   0 dasHost
     17     3.50      11.73       0.38    4784   1 dllhost
     67    58.38      89.79      29.45     984   1 dwm
     90    55.54     141.31      17.23    3016   1 explorer
      5     1.23       2.19       0.02     780   0 fontdrvhost
      6     1.59       3.64       0.19     788   1 fontdrvhost
      0     0.06       0.01       0.00       0   0 Idle
     30     7.70      18.58       9.09     652   0 lsass
      0     0.70      85.09      42.50    1948   0 Memory Compression
     38    25.23       1.22       1.98    4328   1 Microsoft.Photos
     18     9.34      21.43       5.33    1680   0 MoUsoCoreWorker
     82   203.00      58.39      63.12    2384   0 MsMpEng
     35     3.62       8.52       0.09    3960   0 NisSrv
     46    19.78      68.75       2.64    4440   1 OneDrive
    114   152.89     200.39      68.45    4744   1 powershell_ise
    139   158.64     225.50      24.12    6080   1 pwsh
      8     3.48      22.48       1.27      92   0 Registry
     20     4.62      23.15       3.30    1012   1 RuntimeBroker
     16     3.69      16.73       0.91    3444   1 RuntimeBroker
     17     6.07      24.37       1.81    4360   1 RuntimeBroker
     29    24.59      38.09       8.83    4656   1 RuntimeBroker
     11     2.52      15.82       0.05    5124   1 RuntimeBroker
     13     4.91      18.21       0.31    5324   1 RuntimeBroker
    179   124.62      61.48      15.48    1688   1 SearchApp
    142   184.63      67.20      42.20    4472   1 SearchApp
      8     1.43       7.13       0.02    3164   0 SearchFilterHost
     46    21.68      28.79      12.75    4480   0 SearchIndexer
     12     2.23      11.95       0.06    4512   0 SearchProtocolHost
     16     4.12      13.80       0.81    5424   0 SecurityHealthService
      9     1.87       8.34       0.05    5384   1 SecurityHealthSystray
     11     3.67       7.17       5.48     644   0 services
      7     3.45       6.43       0.19    5672   0 SgrmBroker
     26     9.70      19.02       0.25    2704   1 ShellExperienceHost
     17     5.74      24.54       6.91    3100   1 sihost
      4     1.06       0.81       0.16     340   0 smss
     21     5.02       9.86       0.22    2216   0 spoolsv
     11     1.52       4.90       0.03    2360   0 sshd
     28    16.73      49.87       1.12    4296   1 StartMenuExperienceHost
     18     4.31       9.85       1.34     388   0 svchost
     12     1.61       6.12       0.02     400   0 svchost
     77   152.21      69.82     134.52     404   0 svchost
     47    11.20      31.45       4.08     640   0 svchost
     19    15.18      21.49       5.53     716   0 svchost
     24    11.60      26.64      15.70     760   0 svchost
     18     7.20      13.57      20.12     880   0 svchost
     21    18.53      21.44       9.05    1072   0 svchost
     27    36.35      46.86     191.98    1096   0 svchost
     40     9.30      22.52       6.38    1136   0 svchost
     10     1.93       7.87       0.05    1284   0 svchost
     31     9.98      13.45       1.14    1360   0 svchost
     12     2.20       7.85       0.16    1440   0 svchost
     26     4.02      12.14       0.36    1576   0 svchost
      8     1.49       5.66       0.66    1672   0 svchost
     12     2.20       9.97       0.09    1808   0 svchost
     12     1.62       6.06       0.03    1900   0 svchost
     17    16.39      21.23       2.47    2168   0 svchost
     25    18.52      25.46      11.64    2268   0 svchost
     13     3.38      18.88       0.41    2276   1 svchost
     22     3.08       7.76       0.06    2328   0 svchost
     30    10.89      43.06       2.78    3216   1 svchost
     11     1.82       7.07       0.05    3364   0 svchost
     11     5.95      15.20      14.55    4088   0 svchost
     12     2.44       9.15       0.09    4420   0 svchost
      8     1.59       7.11       0.23    5064   0 svchost
      0     0.19       0.15      52.16       4   0 System
     34    17.28       1.08       0.50    5636   1 SystemSettings
     30     6.50      15.46       0.61    3608   1 taskhostw
     23     8.57      35.72       0.77    6100   1 TextInputHost
      7     1.32       5.60       0.03    5040   0 uhssvc
     10     1.89       8.31       0.02    2180   1 UserOOBEBroker
     11     3.02       6.47       7.27    1724   0 VBoxService
     12     2.74      10.21       0.89    5488   1 VBoxTray
     11     1.36       5.87       0.05     508   0 wininit
     13     2.56       9.39       0.25     604   1 winlogon
     70    64.64       1.11       1.77    4780   1 WinStore.App
      5     0.75       3.26       0.16    2408   0 wlms

